Dataset,Noise Type,Algorithm,Linkage,Noise Level,Normalized Mutual Information
3lines,Gaussian,Agglomerative,Average,0.1,0.253 (0.13)
3lines,Gaussian,Agglomerative,Single,0.1,0.261 (0.13)
3lines,Gaussian,Agglomerative,Complete,0.1,0.2688 (0.13)
3lines,Gaussian,MultiMember,Average,0.1,0.2528 (0.2)
3lines,Gaussian,MultiMember,Single,0.1,0.0963 (0.17)
3lines,Gaussian,MultiMember,Complete,0.1,0.2678 (0.15)
3lines,Gaussian,K-Means,Average,0.15,0.3691 (0.03)
3lines,Gaussian,K-Means,Single,0.15,0.0145 (0.01)
3lines,Gaussian,K-Means,Complete,0.15,0.3273 (0.05)
3lines,Gaussian,Agglomerative,Average,0.15,0.3455 (0.07)
3lines,Gaussian,Agglomerative,Single,0.15,0.2546 (0.14)
3lines,Gaussian,Agglomerative,Complete,0.15,0.329 (0.06)
3lines,Gaussian,MultiMember,Average,0.15,0.3744 (0.04)
3lines,Gaussian,MultiMember,Single,0.15,0.1251 (0.11)
3lines,Gaussian,MultiMember,Complete,0.15,0.3141 (0.07)
3lines,Gaussian,K-Means,Average,0.25,0.2996 (0.02)
3lines,Gaussian,K-Means,Single,0.25,0.0557 (0.09)
3lines,Gaussian,K-Means,Complete,0.25,0.2521 (0.02)
3lines,Gaussian,Agglomerative,Average,0.25,0.2073 (0.01)
3lines,Gaussian,Agglomerative,Single,0.25,0.173 (0.07)
3lines,Gaussian,Agglomerative,Complete,0.25,0.1906 (0.07)
3lines,Gaussian,MultiMember,Average,0.25,0.2833 (0.05)
3lines,Gaussian,MultiMember,Single,0.25,0.0954 (0.1)
3lines,Gaussian,MultiMember,Complete,0.25,0.1565 (0.08)
3lines,Uniform,K-Means,Average,0,0.5341 (0.08)
3lines,Uniform,K-Means,Single,0,0.0795 (0.14)
3lines,Uniform,K-Means,Complete,0,0.4213 (0.03)
3lines,Uniform,Agglomerative,Average,0,0.3537 (0.19)
3lines,Uniform,Agglomerative,Single,0,0.5714 (0.08)
3lines,Uniform,Agglomerative,Complete,0,0.6092 (0.06)
3lines,Uniform,MultiMember,Average,0,0.5919 (0.04)
3lines,Uniform,MultiMember,Single,0,0.2162 (0.24)
3lines,Uniform,MultiMember,Complete,0,0.3785 (0.08)
3lines,Uniform,K-Means,Average,0.02,0.518 (0.04)
3lines,Uniform,K-Means,Single,0.02,0.0085 (0.0)
